player_id,gender,player_type,framed,relative_freq_strat1,DarkFactor,CRUD,PATHY,EGO,SPITE,MACH,SAD,SCTR,FRUST,NARC,PENT,MDIS,GRE,strategy_changes,yule_q,yule_y,cum_payoff
elxbu53y,2,2,0,0.142857143,2.714285714,2.5,3.166666667,2.666666667,2,2.5,3,3,2.5,2.333333333,2.5,3,3,10,-0.414012739,-0.216729836,824
buxstyu5,2,1,0,0.314285714,2.485714286,2,2.5,2.666666667,3,2,2.2,2,3,2.333333333,4,4,2,29,-0.68,-0.392335131,798
no6j6c3d,2,2,0,0.228571429,2.514285714,2.5,2.5,2.666666667,3,2.5,2,2,1.5,3,4,4,1,25,0.005376344,0.002688191,874
qmwwptcx,2,1,0,0.014285714,1.714285714,1.75,1.166666667,2.666666667,1,2,1.4,2,2,1.333333333,2,2,3,1,-0.971014493,-0.783695186,955
d3nnqhj1,2,2,0,0.028571429,2.342857143,2.75,2.833333333,2.666666667,1.5,3,1.8,2.5,2,1.666666667,2,2,2,1,0.99999946,0.998961235,980
gauqrm0f,1,1,0,0.242857143,1.685714286,1.75,1.166666667,2,1,1.75,1.2,1.5,1.5,2,3,1,5,8,-1,-0.999969443,898
enmax74b,2,2,0,0.071428571,2.028571429,2,2.333333333,1.666666667,1.5,3,1.2,1.5,1.5,1.666666667,4,1,3,6,-0.379310345,-0.197016752,902
k5s3f5ne,2,1,0,0.342857143,1.885714286,2,1.166666667,2.333333333,2,2.25,1.2,2,2.5,2.666666667,2.5,1,2,15,-0.103139014,-0.051707386,832
fg9bbibz,1,2,0,0.114285714,1.714285714,1.5,1.666666667,1.666666667,2.5,2,1.6,1,1.5,1.333333333,3,2,1,14,0.609999998,0.34032555,890
tcleibkp,1,1,0,0.457142857,2.771428571,1.75,2.833333333,4,2.5,3.5,2.4,1,2,3.666666667,4,4,1,18,-0.647577092,-0.367523901,791
o8yazhge,1,2,0,0.214285714,1.771428571,1.5,1.833333333,2.333333333,1,2,1.2,1,1.5,2.333333333,3,1,3,24,0.147058823,0.073931312,822
buocfmyx,2,1,0,0.1,1.485714286,1.25,1.166666667,1.333333333,1,2.25,1,1,1,2,3,2,2,7,-0.917355372,-0.656158754,872
k7l2k1h7,2,2,0,0.128571429,1.685714286,1.75,1.333333333,1.333333333,1,2.5,1.4,3,1.5,1.333333333,2.5,1,2,16,-0.067961168,-0.034019912,960
wh4u3tph,1,1,0,0,2.4,2.25,2.5,2.666666667,2,2.5,2.2,2.5,2,2.333333333,3.5,2,2,0,-1,-0.999985285,980
vnhsr39l,1,2,0,0,1.8,1.75,1.666666667,2,1.5,2,1.6,2,2,1.333333333,3,1,2,0,-1,-0.999978538,980
i8qt3jxw,1,1,0,0.257142857,2.114285714,1.75,2,2.333333333,1.5,2.75,1.4,1.5,2,2.666666667,3.5,3,2,5,-0.999999999,-0.999953581,904
jt77i2bs,2,2,0,0.028571429,1.4,2,1.333333333,1.333333333,1,1.5,1,1,1.5,1,2,2,2,4,0.999999978,0.999788403,912
5xdc3466,1,1,0,0.871428571,3.085714286,4,2.666666667,3.333333333,2.5,3.5,2.2,3,3.5,3.333333333,3.5,4,2,18,-0.999999951,-0.999687094,798
17fpqn72,1,2,0,0.014285714,2.485714286,2,3,1.333333333,2.5,3.75,1.8,3.5,2,2,4,2,1,2,-0.999999893,-0.999536474,728
265l99ai,2,1,1,0.014285714,2.6,3,3,2.666666667,2.5,2,2,2.5,2.5,1.666666667,4.5,5,1,2,-1,-0.999999999,966
2fsj9qvt,1,2,1,0.014285714,2.228571429,2,2.5,2.333333333,1.5,3.5,1.6,2,1.5,2.333333333,3,1,2,2,0.999998904,0.998520368,978
oy8wn5im,2,1,1,0.428571429,2.2,2.25,2.166666667,2.333333333,1,2.25,2.6,2,2.5,2.333333333,2,2,2,25,-0.999999994,-0.999894605,879
y9iygxxf,2,2,1,0.014285714,2.771428571,2.25,3.166666667,1.666666667,1.5,3.75,3.2,2,2.5,3,4,1,3,2,0.999999979,0.999795286,862
9smjkz19,2,1,1,0,1.857142857,1.75,2,2,1.5,1.75,1.8,2,2,1.333333333,2.5,2,2,0,-0.971014493,-0.783695186,969
6ub1usmw,2,2,1,0.014285714,2.228571429,2.5,1.833333333,3,1,2.25,2.2,2.5,2,2,3,3,2,2,-0.971428571,-0.785099297,982
0bmasffv,1,1,1,0.471428571,1.742857143,1.25,1.833333333,1.666666667,2,2,1.2,3.5,1.5,1.666666667,2,2,1,15,-0.072463768,-0.036279573,881
6zqxv643,2,2,1,0,1.428571429,1.25,1.5,1.333333333,1,1.25,1,1.5,1.5,1.333333333,3.5,1,2,0,-0.057142857,-0.02859479,848
sj2ft9f6,1,1,1,0.728571429,2.171428571,2,2,2.666666667,1.5,2.5,1.4,2.5,2,2.333333333,4,2,2,28,0.107692308,0.054003188,712
6fsse8c1,1,2,1,0.585714286,2.514285714,1.75,2.333333333,2.666666667,4,2.25,2.8,1.5,2.5,2,4,3,3,38,0.280513918,0.143130303,578
rj5j60np,4,1,1,0.8,2.285714286,2.25,2.5,2.333333333,1.5,2,2,1,2,2.333333333,5,3,2,14,-0.999999971,-0.999759975,801
i7rlg7cc,2,2,1,0.014285714,1.4,1.25,1.333333333,1.666666667,1,1.75,1.4,2,1,1.333333333,1.5,1,1,2,0.999999996,0.999913487,758
7xjh9hwo,1,1,1,0.971428571,2.485714286,2.5,2.333333333,2.666666667,1,3,1.8,2,2,3,4.5,3,3,2,-0.999999941,-0.999657053,768
e8jis7nf,1,2,1,0.057142857,2.657142857,2.75,2.5,1.666666667,3,2.5,3,2.5,2.5,3,3,3,3,8,0.911764706,0.646314837,686
zo9j0hsi,1,1,1,0.671428571,2.657142857,2.5,2.666666667,4.333333333,3,3.25,2.6,2,1.5,2,3,1,2,21,-0.246753247,-0.125314083,732
iyu7t1vc,2,2,1,0.357142857,1.914285714,1.75,2,2,1.5,1.75,1.6,3,1.5,1.666666667,3.5,1,2,19,0.367231638,0.190262692,702
3fmd8mik,1,1,1,0,2.828571429,2,2.833333333,3,1,3.75,1.8,3.5,4,3.666666667,5,2,1,0,-1,-0.999985285,980
qkypffhk,1,2,1,0,2.2,2.5,2.166666667,3.666666667,1.5,2.75,1.2,1.5,3,1.333333333,3,2,2,0,-1,-0.999978538,980
r3oyr52t,1,1,1,0.042857143,2.114285714,2,2.333333333,2,1.5,2,2,2.5,1.5,2.333333333,3.5,2,1,6,-1,-0.999970179,828
3u51j68w,2,2,1,0.185714286,1.514285714,1,1.5,1.666666667,1,2.25,1.2,2,1.5,1.666666667,1.5,1,2,22,0.999999978,0.999788729,994
xtfge1ys,2,1,1,0.585714286,1.771428571,1.75,2.333333333,1.333333333,1,1.25,1.2,1.5,1.5,2.666666667,2.5,4,1,13,-1,-0.999981468,845
i2nn9ow6,1,2,1,0.342857143,1.914285714,1.5,2.333333333,1,1,2.5,1.8,2,2,2,3,1,2,11,-0.801980198,-0.502068981,654
uwz2vbjr,1,1,1,0.985714286,2.6,1.75,2.666666667,1.333333333,1.5,2.5,4,1.5,1,3.333333333,4.5,2,5,1,1,0.999985285,773
b7ctrqau,1,2,1,0,1.485714286,1.5,1,1,1.5,2.5,1.2,1.5,2,1.666666667,2,1,1,0,0.971428571,0.785099297,704
ipmny9rq,3,1,1,0.014285714,2.257142857,1.75,2.166666667,1.666666667,1,3,2.2,1.5,3.5,2.666666667,4,2,1,2,-0.971014493,-0.783695186,977
i18sqw1f,1,2,1,0,2.171428571,2,2.166666667,3,2,3,1.2,1.5,2.5,2.333333333,2,3,2,0,-0.971428571,-0.785099297,976
ouaa8yuq,1,1,1,0.371428571,2.771428571,3.25,2.333333333,3,3,3.75,1.8,2.5,4,2,4.5,2,1,24,-0.571788413,-0.31410023,831
qxal8ioj,1,2,1,0.185714286,2.714285714,3,2.5,3.333333333,2.5,2.75,2.2,3,3.5,2.333333333,2.5,3,3,12,-0.226519337,-0.11475105,842
8gckk19h,2,1,1,0.4,2.114285714,2.25,1.666666667,2.333333333,1,2.75,1.8,1.5,1,3.666666667,2.5,2,3,26,-0.217391304,-0.110011136,896
ftednx2p,1,2,1,0,2.028571429,1.75,2.333333333,1.666666667,1,3.25,1.4,1.5,1.5,1.666666667,3.5,3,2,0,-0.2,-0.101020514,868
or50tpef,1,1,1,0.742857143,1.8,1.25,1.666666667,2,1,2.75,1,3,1.5,1.666666667,3.5,1,2,28,-0.460122698,-0.243727731,808
gs3duosm,2,2,1,0.114285714,1.771428571,1.25,1.333333333,1.333333333,1,3,2.6,1.5,1,2.333333333,2,1,1,16,-0.021276595,-0.010639502,728
owlwqap1,2,1,1,0.657142857,2.8,3.25,3,3.333333333,2,2.5,2.6,2,1.5,2.666666667,4.5,4,2,33,-0.839416058,-0.543843114,761
mv7b2pla,1,2,1,0.385714286,2.6,2.25,3,2.666666667,3.5,2.25,2.2,3,2,2.666666667,3,3,2,30,-0.034482759,-0.017246508,670
3cruabz9,2,1,1,0.414285714,1.4,1,1.166666667,1.666666667,2,1.5,1.8,1,1.5,1,2,1,1,21,-0.188405797,-0.095054047,893
xwsl0cj6,2,2,1,0,2.114285714,2,1.833333333,2,1.5,2.75,1.4,3,2,2.666666667,3,2,2,0,-0.171428571,-0.08635345,864
yh9eenkb,1,1,1,0.171428571,2.114285714,1.75,2.166666667,2,1.5,2.25,1.8,2,2,2.666666667,4,1,2,6,-0.999999999,-0.999965954,922
x6hhcpwc,3,2,1,0.028571429,1.885714286,1.25,2,2.666666667,1.5,2.75,1,1.5,3,2,2.5,1,1,4,0.999999962,0.999725748,936
z50vt4g0,2,1,1,0.028571429,2.6,2.25,3,3,1.5,2.5,2.8,2,2,2.666666667,3.5,2,3,3,-1,-0.999999999,952
qaes30x6,2,2,1,0.028571429,1.571428571,1.5,1.666666667,1.666666667,1,1.75,1.2,1,2,1.666666667,2.5,2,1,3,0.999999734,0.999270871,976
i16qw3id,2,1,1,0.685714286,1.714285714,2.25,1.666666667,2,1,1.75,1.2,2,1,1.666666667,2.5,2,2,33,-0.564164649,-0.309019168,760
7lpmb9fe,1,2,1,0.285714286,1.657142857,2.25,1.333333333,1.666666667,1,1.75,1,2,2,2,2,2,2,26,0.263157895,0.133939444,708
izo49mch,1,1,1,0.785714286,2.2,3.25,2.5,2,1,2.5,1.2,2,1.5,2,4,2,2,10,-0.709923663,-0.416553755,772
kcee9wcd,1,2,1,0.242857143,2.028571429,1.5,2,3,1,2,1.8,2,2,2,3,3,2,28,0.28358209,0.144762441,674
g7ab12q3,2,1,1,0.671428571,1.885714286,1.75,2,2,1,2,1.2,2.5,1.5,2.333333333,3,2,2,15,-0.999999999,-0.999957101,791
vrtjenol,1,2,1,0.171428571,2.542857143,1.5,2.833333333,3,3,3,2.6,2,1.5,2.666666667,3,4,1,20,0.226993865,0.114997874,746
u9xqjsvk,2,1,1,0.414285714,3.257142857,3.25,4,3.666666667,3,3.75,2.4,2,3.5,3.333333333,4.5,2,1,39,-0.084745763,-0.042449235,801
b689r07v,2,2,1,0.228571429,1.857142857,2.25,1.833333333,2.333333333,2,2,1.2,2.5,1.5,1.666666667,2,2,1,27,-0.061611374,-0.030834977,826
